name,category,kcal,protein,fat,carbs,unit,piece_grams,density,staple
Картофель,Овощи и фрукты,77,2,0.1,17,pcs,120,,0
Морковь,Овощи и фрукты,41,0.9,0.2,9.6,pcs,80,,0
Лук репчатый,Овощи и фрукты,40,1.1,0.1,9.3,pcs,110,,0
Свёкла,Овощи и фрукты,43,1.6,0.2,9.6,g,,,0
Капуста белокочанная,Овощи и фрукты,25,1.3,0.1,5.8,g,,,0
Помидоры,Овощи и фрукты,18,0.9,0.2,3.9,pcs,120,,0
Огурцы,Овощи и фрукты,15,0.7,0.1,3.6,pcs,150,,0
Перец болгарский,Овощи и фрукты,26,1,0.3,6,pcs,150,,0
Чеснок,Овощи и фрукты,149,6.4,0.5,33,pcs,5,,1
Кабачок,Овощи и фрукты,17,1.2,0.3,3.1,pcs,300,,0
Брокколи,Овощи и фрукты,34,2.8,0.4,7,g,,,0
Цветная капуста,Овощи и фрукты,25,1.9,0.3,5,g,,,0
Шпинат,Овощи и фрукты,23,2.9,0.4,3.6,g,,,0
Грибы шампиньоны,Овощи и фрукты,22,3.1,0.3,3.3,g,,,0
Тыква,Овощи и фрукты,26,1,0.1,6.5,g,,,0
Сельдерей,Овощи и фрукты,16,0.7,0.2,3,g,,,0
Зелень,Овощи и фрукты,36,3,0.4,6,g,,,0
Яблоко,Овощи и фрукты,52,0.3,0.2,14,pcs,180,,0
Банан,Овощи и фрукты,89,1.1,0.3,23,pcs,120,,0
Лимон,Овощи и фрукты,29,1.1,0.3,9,pcs,100,,0
Авокадо,Овощи и фрукты,160,2,15,9,pcs,150,,0
"Куриная грудка, сырая",Мясо и рыба,110,23,1.2,0,g,,,0
Куриное бедро без кости,Мясо и рыба,177,18,11,0,g,,,0
Говядина,Мясо и рыба,250,26,15,0,g,,,0
Говяжий фарш,Мясо и рыба,254,17,20,0,g,,,0
Свинина,Мясо и рыба,242,27,14,0,g,,,0
Фарш свино-говяжий,Мясо и рыба,275,16,23,0,g,,,0
"Индейка, филе",Мясо и рыба,114,23,1.5,0,g,,,0
"Лосось, филе",Мясо и рыба,208,20,13,0,g,,,0
Треска,Мясо и рыба,82,18,0.7,0,g,,,0
Тунец консервированный,Мясо и рыба,116,26,1,0,g,,,0
Креветки,Мясо и рыба,99,24,0.3,0.2,g,,,0
Бекон,Мясо и рыба,417,13,40,1,g,,,0
Сосиски,Мясо и рыба,300,12,28,2,pcs,50,,0
Яйцо куриное,Молочное,157,12.7,11.5,0.7,pcs,55,,0
"Молоко 2,5 %",Молочное,52,2.8,2.5,4.7,ml,,103,0
Творог 5 %,Молочное,121,17,5,1.8,g,,,0
Сметана 15 %,Молочное,162,2.6,15,3.6,g,,,0
Йогурт натуральный,Молочное,60,4,3.2,4,g,,,0
Сыр твёрдый,Молочное,350,25,27,0,g,,,0
Сыр фета,Молочное,264,14,21,4,g,,,0
Моцарелла,Молочное,280,18,22,2,g,,,0
Масло сливочное,Молочное,717,0.8,81,0.6,g,,,0
Сливки 20 %,Молочное,206,2.8,20,3.7,ml,,101,0
Рис,Бакалея,345,7.5,0.6,78,g,,,0
Гречка,Бакалея,313,12.6,3.3,62,g,,,0
Овсяные хлопья,Бакалея,366,12,6,62,g,,,0
Макароны,Бакалея,350,12,1.5,70,g,,,0
Булгур,Бакалея,342,12,1.3,76,g,,,0
Чечевица,Бакалея,352,24,1.1,63,g,,,0
Фасоль консервированная,Бакалея,90,6,0.5,15,g,,,0
Нут,Бакалея,364,19,6,61,g,,,0
Мука пшеничная,Бакалея,364,10,1,76,g,,,1
Хлеб,Бакалея,265,9,3.2,49,g,,,0
Сахар,Бакалея,387,0,0,100,g,,,1
Мёд,Бакалея,304,0.3,0,82,g,,,0
Томатная паста,Бакалея,82,4.3,0.5,19,tbsp,,110,1
Кокосовое молоко,Бакалея,230,2.3,24,3,ml,,100,0
Орехи грецкие,Бакалея,654,15,65,14,g,,,0
Оливки,Бакалея,115,0.8,11,6,g,,,0
Ягоды замороженные,Заморозка,50,1,0.3,12,g,,,0
Овощная смесь замороженная,Заморозка,60,2.5,0.5,10,g,,,0
Масло оливковое,Специи и соусы,884,0,100,0,tbsp,,92,1
Масло растительное,Специи и соусы,884,0,100,0,tbsp,,92,1
Соль,Специи и соусы,0,0,0,0,tsp,,120,1
Перец чёрный,Специи и соусы,251,10,3,64,tsp,,50,1
Соевый соус,Специи и соусы,53,8,0,5,tbsp,,115,1
Горчица,Специи и соусы,66,4,4,5,tsp,,105,1
Майонез,Специи и соусы,680,1,75,2.6,tbsp,,95,0
Кетчуп,Специи и соусы,112,1.8,0.2,26,tbsp,,110,0
Уксус,Специи и соусы,18,0,0,0,tbsp,,100,1
Лавровый лист,Специи и соусы,,,,,pcs,1,,1
